key,char,skillType,name,command,fire,persistence,rigidity,totalFrame,hit,guard,cancel,damage,correction,dHit,dGuard,dPunish,saGauge,attackType,imageFile,movieFile,comment
ryu,リュウ,通常技,しゃがみ強K（回転足払い）,2 + KH,9,11,23,42,,-12,"",900,"",300,-400,-1000,1000,下,,,カウンター/パニッシュカウンター時ダウン時間増加
ryu,リュウ,通常技,ジャンプ弱P（肘落とし）,（ジャンプ中に）PL,4,13,3,19,,,"",300,"",50,-150,-200,300,中,,,""
ryu,リュウ,通常技,ジャンプ弱K（ひざ蹴り）,（ジャンプ中に）KL,6,15,3,23,,,"",300,"",50,-150,-200,300,中,,,めくり性能
ryu,リュウ,通常技,ジャンプ中P（すくい突き）,（ジャンプ中に）PM,8,12,3,22,,,C,700,"",100,-300,-500,500,中上,,,空中ヒット時吹き飛びダウン
ryu,リュウ,通常技,ジャンプ中K（飛び蹴り）,（ジャンプ中に）KM,7,12,3,21,,,"",500,"",100,-250,-400,500,中,,,めくり性能
ryu,リュウ,通常技,ジャンプ強P（ストレート）,（ジャンプ中に）PH,9,14,3,25,,,"",800,"",200,-400,-500,1000,中,,,空中カウンター/パニッシュカウンター時叩きつけダウン
ryu,リュウ,通常技,ジャンプ強K（跳び前蹴り）,（ジャンプ中に）KH,12,19,3,33,,,"",800,"",200,-400,-500,1000,中,,,""
ryu,リュウ,特殊技,鎖骨割り,6 + PM,20,23,19,61,3,-1,"",600,"",150,-250,-500,500,※中上,鎖骨割り.jpg,鎖骨割り.mp4,※初段が空振り時のみ2段目が中段判定
ryu,リュウ,特殊技,鳩尾砕き,6 + PH,20,24,16,59,6,3,"",800,"",250,-500,-800,1000,上,鳩尾砕き.jpg,鳩尾砕き.mp4,""
ryu,リュウ,特殊技,上げ突き,4 + PH,7,10,26,42,1,-13,C,800,"",200,-500,-800,1000,上,上げ突き.jpg,上げ突き.mp4,キャンセルは持続の1F目がヒットした時のみ@@EOL@@強制立ち効果
ryu,リュウ,特殊技,かかと落とし,4 + KH,10,23,21,53,0,-4,C,800,"",150,-300,-600,1000,上,かかと落とし.jpg,かかと落とし.mp4,1段目強制立ち効果@@EOL@@2段目空中ヒット時床バウンド
ryu,リュウ,特殊技,旋風脚,6 + KH,16,19,20,54,2,-4,※,800,"",250,-500,-800,1000,上,旋風脚.jpg,旋風脚.mp4,※OD空中竜巻旋風脚でのみキャンセル可能
ryu,リュウ,特殊技,上段二連撃,PH -> KH,9,12,20,40,,-8,※,1000,"",250,-700,-1000,1000,上,上段二連撃.jpg,上段二連撃.mp4,※ヒット時、電刃錬気でのみキャンセル可能@@EOL@@クラシック操作:↓+P、モダン操作:↓＋攻撃
ryu,リュウ,特殊技,不破三連撃（2段目）,PM -> KL,5,7,16,27,1,-4,"",300,"",100,-100,-200,500,上,不破三連撃.jpg,不破三連撃.mp4,""
ryu,リュウ,特殊技,不破三連撃（3段目）,PM -> KL -> KH,17,20,20,56,,-8,※,900,"",250,-300,-1000,1000,上,不破三連撃.jpg,不破三連撃.mp4,※ヒット時、電刃錬気でのみキャンセル可能@@EOL@@クラシック操作:↓+P、モダン操作:↓＋攻撃
ryu,リュウ,必殺技,弱 波動拳,236 + PL,16,,47,0,1,-5,SA3,600,"",100,-250,-300,600,上・弾,波動拳.jpg,波動拳.mp4,""
ryu,リュウ,必殺技,中 波動拳,236 + PM,14,,47,0,-1,-7,SA3,600,"",100,-250,-300,600,上・弾,波動拳.jpg,波動拳.mp4,""
ryu,リュウ,必殺技,強 波動拳,236 + PH,12,,47,0,-3,-9,SA3,600,"",100,-250,-300,600,上・弾,波動拳.jpg,波動拳.mp4,""
ryu,リュウ,必殺技,[電刃錬気]波動拳,236 + P,12,,42,0,,-3,SA3,800,始動補正20％コンボ補正20％,100,-250,-300,600,上・弾,電刃錬気.jpg,電刃錬気.mp4,""
ryu,リュウ,必殺技,OD 波動拳,236 + PP,12,,40,0,,-1,SA2,800,始動補正20％コンボ補正20％,0,-250,-500,600,上・弾,波動拳.jpg,波動拳.mp4,""
ryu,リュウ,必殺技,[電刃錬気]OD 波動拳,236 + PP,12,,38,0,,2,SA2,1000,始動補正20％コンボ補正20％,0,-375,-700,900,上・弾,電刃錬気.jpg,電刃錬気.mp4,""
ryu,リュウ,必殺技,弱 昇龍拳,623 + PL,5,14,12,30,,-23,SA3,1100,始動補正30%,200,-400,-500,1000,上,昇龍拳.jpg,昇龍拳.mp4,1-14F　空中判定の攻撃に対して無敵@@EOL@@7-34F　空中判定@@EOL@@※持続の3F目以降は個別ダメージ（800）
ryu,リュウ,必殺技,中 昇龍拳,623 + PM,6,15,12,32,,-32,SA3,1200,始動補正30%,200,-400,-500,1000,上,昇龍拳.jpg,昇龍拳.mp4,1-9F　空中判定の攻撃に対して無敵@@EOL@@8-44F　空中判定@@EOL@@※持続の3F目以降は個別ダメージ（800）
ryu,リュウ,必殺技,強 昇龍拳,623 + PH,7,16,15,37,,-39,SA3,1400,始動補正30%,200,-400,-500,1000,上,昇龍拳.jpg,昇龍拳.mp4,1-8F　空中判定の攻撃に対して無敵@@EOL@@9-49F　空中判定@@EOL@@※持続の2F目以降は個別ダメージ（800）
ryu,リュウ,必殺技,OD 昇龍拳,623 + PP,6,15,15,35,,-40,"",1600,"",0,-200,0,1000,上,昇龍拳.jpg,昇龍拳.mp4,1-10F　完全無敵@@EOL@@8-51F　空中判定
ryu,リュウ,必殺技,弱 竜巻旋風脚,214 + KL,12,14,18,43,,-15,"",900,"",300,-400,-500,1200,上,旋風脚.jpg,旋風脚.mp4,5-28F　空中判定
ryu,リュウ,必殺技,中 竜巻旋風脚,214 + KM,14,30,20,63,,-13,"",1000,"",350,-250,-500,1300,上,旋風脚.jpg,旋風脚.mp4,8-41F　空中判定
ryu,リュウ,必殺技,強 竜巻旋風脚,214 + KH,16,47,17,79,,-13,"",1200,"",400,-200,-500,1400,上,旋風脚.jpg,旋風脚.mp4,10-61F 空中判定
ryu,リュウ,必殺技,OD 竜巻旋風脚,214 + KK,13,37,13,62,,-14,"",1000,"",0,-400,-500,1000,上,旋風脚.jpg,旋風脚.mp4,""
ryu,リュウ,必殺技,空中竜巻旋風脚,（前ジャンプ中に）214 + K,11,27,16,53,,,"",900,始動補正30%,200,-400,-500,600,上,旋風脚.jpg,旋風脚.mp4,""
ryu,リュウ,必殺技,OD 空中竜巻旋風脚,（前ジャンプ中に）214 + KK,11,28,16,54,,,"",1500,コンボ補正25%,0,-400,-500,600,上,旋風脚.jpg,旋風脚.mp4,""
ryu,リュウ,必殺技,弱 上段足刀蹴り,236 + KL,14,19,22,54,,-11,SA3,1100,"",300,-600,-500,1400,上,上段足刀蹴り.jpg,上段足刀蹴り.mp4,""
ryu,リュウ,必殺技,中 上段足刀蹴り,236 + KM,18,26,19,62,,-8,SA3,1200,"",350,-600,-700,1400,上,上段足刀蹴り.jpg,上段足刀蹴り.mp4,""
ryu,リュウ,必殺技,強 上段足刀蹴り,236 + KH,29,37,16,81,,-5,SA3,1300,"",500,-800,-1000,1400,上,上段足刀蹴り.jpg,上段足刀蹴り.mp4,パニッシュカウンター時吹き飛び時間延長
ryu,リュウ,必殺技,OD 上段足刀蹴り,236 + KK,17,21,33,70,,-18,SA2,800,コンボ補正15%,0,-400,-500,1200,上,上段足刀蹴り.jpg,上段足刀蹴り.mp4,""
ryu,リュウ,必殺技,弱 波掌撃,214 + PL,12,17,18,46,2,-3,SA3,700,"",200,-400,-500,800,上,波掌撃.jpg,波掌撃.mp4,カウンター/パニッシュカウンター時吹き飛びダウン@@EOL@@飛び道具相殺判定あり
ryu,リュウ,必殺技,中 波掌撃,214 + PM,19,24,17,59,2,-6,SA3,800,"",200,-600,-500,800,上,波掌撃.jpg,波掌撃.mp4,カウンター/パニッシュカウンター時吹き飛びダウン@@EOL@@飛び道具相殺判定あり
ryu,リュウ,必殺技,強 波掌撃,214 + PH,30,35,19,83,,2,SA3,800,"",200,-600,-500,1100,上,波掌撃.jpg,波掌撃.mp4,飛び道具相殺判定あり
ryu,リュウ,必殺技,[電刃錬気]波掌撃,214 + P,20,25,19,63,,3,SA3,800,"",200,-600,-500,1100,上,電刃錬気.jpg,電刃錬気.mp4,飛び道具相殺判定あり
ryu,リュウ,必殺技,OD 波掌撃,214 + PP,18,22,20,59,3,3,SA2,900,コンボ補正20％,0,-600,-500,900,上,波掌撃.jpg,波掌撃.mp4,飛び道具相殺判定あり
ryu,リュウ,必殺技,[電刃錬気]OD 波掌撃,214 + PP,18,23,19,59,,4,SA2,800,"",0,-600,-500,1100,上,電刃錬気.jpg,電刃錬気.mp4,ヒット時に膝崩れダウンに＋39@@EOL@@飛び道具相殺判定あり
ryu,リュウ,必殺技,電刃錬気,22 + P,,,52,0,,,"",0,"",0,0,0,0,"",電刃錬気.jpg,電刃錬気.mp4,51F目で電刃錬気を1つストック（1つまでストック可能）@@EOL@@波動拳、波掌撃、真空波動拳、真波掌撃の性能が強化される
ryu,リュウ,スーパーアーツ,SA1 真空波動拳,236236 + P,7,,86,0,,-24,"",2000,"",0,-250,-500,0,上・弾,真空波動拳.jpg,真空波動拳.mp4,1-8F　打撃・投げに対して無敵@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ30％
ryu,リュウ,スーパーアーツ,[電刃錬気]SA1 真空波動拳,236236 + P,7,,86,0,,-24,"",2400,"",0,-250,-500,0,上・弾,真空波動拳.jpg,真空波動拳.mp4,1-8F　打撃・投げに対して無敵@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ30％
ryu,リュウ,スーパーアーツ,SA2 真波掌撃（Lv1）,214214 + P,12,17,39,67,,-20,"",2800,"",0,-400,-1000,0,上,波掌撃.jpg,波掌撃.mp4,1-13F 完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,SA2 真波掌撃（Lv2）,214214 + P,20,25,39,83,,-20,"",2900,"",0,-600,-1000,0,上,波掌撃.jpg,波掌撃.mp4,1-9F　完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,SA2 真波掌撃（Lv3）,214214 + P,70,75,39,183,,-20,"",3000,"",0,-1000,-1000,0,上,波掌撃.jpg,波掌撃.mp4,1-9F 完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,[電刃錬気]SA2 真波掌撃（Lv1）,214214 + P,12,17,39,67,,-20,"",3200,"",0,-400,-1000,0,上,電刃錬気.jpg,電刃錬気.mp4,1-13F 完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,[電刃錬気]SA2 真波掌撃（Lv2）,214214 + P,20,25,39,83,,-20,"",3300,"",0,-600,-1000,0,上,電刃錬気.jpg,電刃錬気.mp4,1-9F 完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,[電刃錬気]SA2 真波掌撃（Lv3）,214214 + P,70,75,39,183,,-20,"",3400,"",0,-1000,-1000,0,上,電刃錬気.jpg,電刃錬気.mp4,1-9F 完全無敵@@EOL@@ボタンをホールドする事で性能変化@@EOL@@8F以上ボタンを押して離すとLv2が発動@@EOL@@38F以上ボタンを押して離すとLv3が発動@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@最低保障ダメージ40％
ryu,リュウ,スーパーアーツ,SA3 真・昇龍拳,236236 + K,5,16,71,91,,-52,"",4000,※即時補正10%,0,-750,-1500,0,上,真・昇龍拳.jpg,真・昇龍拳.mp4,1-16F 完全無敵@@EOL@@最低保障ダメージ50％@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@※必殺技キャンセル時のみ適用
ryu,リュウ,スーパーアーツ,CA 真・昇龍拳,（体力25%以下で）236236 + K,5,16,71,91,,-52,"",4500,※即時補正10%,0,-1000,-2000,0,上,真・昇龍拳.jpg,真・昇龍拳.mp4,1-16F 完全無敵@@EOL@@最低保障ダメージ50％@@EOL@@カウンター/パニッシュカウンターで数値が変動しない@@EOL@@※必殺技キャンセル時のみ適用
ryu,リュウ,通常投げ,背負い投げ,（近距離で） N or 6 + PLKL,5,7,23,34,,,"",1200,即時補正20%,200,0,-1000,2000,投,背負い投げ.jpg,背負い投げ.mp4,パニッシュカウンター時以下の性能変化@@EOL@@・ダメージ2040@@EOL@@・SAゲージ4000増加@@EOL@@・ハードノックダウン
ryu,リュウ,通常投げ,巴投げ,（近距離で） 4 + PLKL,5,7,23,34,,,"",1200,即時補正20%,200,0,-1000,2000,投,巴投げ.jpg,巴投げ.mp4,パニッシュカウンター時以下の性能変化@@EOL@@・ダメージ2040@@EOL@@・SAゲージ4000増加@@EOL@@・ハードノックダウン
ryu,リュウ,共通システム,前方ステップ,66,,,19,0,,,"",0,"",0,0,0,0,"",,,""
ryu,リュウ,共通システム,後方ステップ,44,,,23,0,,,"",0,"",0,0,0,0,"",,,1-15F 投げ無敵
ryu,リュウ,共通システム,ドライブインパクト（震撃）,PHKH,26,27,35,87,,-3,"",800,始動補正20%,0,-500,-1500,0,上,ドライブインパクト（震撃）.jpg,ドライブインパクト（震撃）.mp4,1-27F　 アーマー判定（2回）@@EOL@@ヒットバックでステージ端に到達すると壁やられが発生@@EOL@@パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化@@EOL@@・地上ヒット膝崩れ@@EOL@@・空中ヒット吹き飛び時間増加@@EOL@@・SAゲージ3000増加
ryu,リュウ,共通システム,[ガード時]ドライブリバーサル（胸尖打ち）,（ガード中 or ドライブパリィ成立中に） 6 + PHKH,20,22,26,67,,-6,"",500,"",0,0,0,0,上,ドライブリバーサル（胸尖打ち）.jpg,ドライブリバーサル（胸尖打ち）.mp4,リカバリアブルダメージ@@EOL@@1-22F 完全無敵@@EOL@@ヒット時硬直5F増加
ryu,リュウ,共通システム,[起き上がり時]ドライブリバーサル（胸尖打ち）,（起き上がり時に） 6 + PHKH,18,20,26,63,,-6,"",500,"",0,0,0,0,上,ドライブリバーサル（胸尖打ち）.jpg,ドライブリバーサル（胸尖打ち）.mp4,リカバリアブルダメージ@@EOL@@1-20F 完全無敵@@EOL@@ヒット時硬直5F増加
ryu,リュウ,共通システム,ドライブパリィ,PMKM,1,12,33,45,,,※,0,"",0,0,0,0,"",ドライブパリィ.jpg,ドライブパリィ.mp4,※1 動作の4F目からドライブラッシュでキャンセル可@@EOL@@※2 ボタンホールドでパリィの持続を延長可@@EOL@@硬直部分はガードのみ可@@EOL@@動作中常に被パニッシュカウンター判定
ryu,リュウ,共通システム,ジャストパリィ（打撃）,PMKM,1,,1,0,,,"",0,始動補正50％,0,0,0,0,"",,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する@@EOL@@硬直終了から5Fの間完全無敵@@EOL@@（パリィを継続した場合は無敵にならない）@@EOL@@ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ryu,リュウ,共通システム,ジャストパリィ（飛び道具）,PMKM,1,,10,0,,,"",0,始動補正50％,0,0,0,0,"",,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する@@EOL@@暗転演出が入らない@@EOL@@ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ryu,リュウ,共通システム,パリィドライブラッシュ,（ドライブパリィ中に）66,,,45,0,,,※,0,乗算補正15％,0,0,0,0,"",パリィドライブラッシュ.jpg,パリィドライブラッシュ.mp4,暗転10F@@EOL@@※動作9F目から攻撃行動にキャンセル可@@EOL@@　24F目からパリィ以外の行動でキャンセル可
ryu,リュウ,共通システム,キャンセルドライブラッシュ,（必殺技キャンセル可能な攻撃ヒット中に） ( ) 66 or N or 6 + PMKM,,,46,0,,,※,0,乗算補正15％,0,0,0,0,"",キャンセルドライブラッシュ.jpg,キャンセルドライブラッシュ.mp4,暗転9F@@EOL@@※動作10F目から攻撃行動にキャンセル可@@EOL@@　25F目からパリィ以外の行動でキャンセル可
luke,ルーク,通常技,立ち弱P（ファーストスティンガー）,PL,7,8,11,25,2,-3,"",300,始動補正20%,25,-50,-200,300,上,,,※空振り時硬直3F増加
luke,ルーク,通常技,立ち弱K（レッグハント）,KL,5,6,12,22,3,-2,C,300,始動補正20%,25,-50,-200,300,上,,,""
luke,ルーク,通常技,立ち中P（トリガーフィスト）,PM,9,12,16,36,2,-3,※,600,"",150,-300,-400,500,上,,,""
luke,ルーク,通常技,立ち中K（アンブッシュスピア）,KM,8,10,16,33,1,-3,"",700,"",200,-400,-600,700,上,,,※空振り時硬直3F増加
luke,ルーク,通常技,立ち強P（クラッシャー）,PH,10,12,23,44,1,-6,C,800,"",200,-500,-800,1000,上,,,""
luke,ルーク,通常技,立ち強K（キャノンボール）,KH,10,16,16,41,2,-5,"",900,"",300,-600,-1000,1000,上,,,空中ヒット時吹き飛びダウン@@EOL@@パニッシュカウンター時吹き飛びダウン@@EOL@@8-15F足元無敵
luke,ルーク,通常技,しゃがみ弱P（ファストジャブ）,2 + PL,4,5,10,18,4,-2,C,300,始動補正20%,25,-50,-200,300,上,,,連打キャンセル対応
luke,ルーク,通常技,しゃがみ弱K（アンクルスナイプ）,2 + KL,5,7,12,23,-1,-5,"",200,始動補正20%,25,-50,-200,300,下,,,連打キャンセル対応
luke,ルーク,通常技,しゃがみ中P（スラッグショット）,2 + PM,6,7,14,26,5,1,C,600,始動補正15%,150,-300,-400,500,上,,,※空振り時硬直3F増加
luke,ルーク,通常技,しゃがみ中K（カーフスカッシュ）,2 + KM,8,10,19,36,-2,-6,C,500,始動補正20%,100,-200,-400,600,下,,,""
luke,ルーク,通常技,しゃがみ強P（アンチエアランチャー）,2 + PH,7,11,24,41,1,-13,C,800,コンボ補正15%,200,-500,-800,1000,上,,,強制立ち効果@@EOL@@キャンセルは持続の1F目まで
luke,ルーク,通常技,しゃがみ強K（トレンチブレイク）,2 + KH,10,12,27,48,,-9,"",900,"",300,-400,-1000,1000,下,,,カウンター/パニッシュカウンター時ダウン時間増加
luke,ルーク,通常技,ジャンプ弱P（ワンバレット）,（ジャンプ中に）PL,5,13,3,20,,,"",300,"",50,-150,-200,300,中,,,""
luke,ルーク,通常技,ジャンプ弱K（デルタニー）,（ジャンプ中に）KL,6,11,3,19,,,"",300,"",50,-150,-200,300,中,,,めくり性能
luke,ルーク,通常技,ジャンプ中P（エア・インターセプター）,（ジャンプ中に）PM,9,12,3,23,,,C,700,"",100,-300,-400,500,中,,,空中ヒット時吹き飛びダウン
luke,ルーク,通常技,ジャンプ中K（バーチカルテイル）,（ジャンプ中に）KM,7,12,3,21,,,"",500,"",100,-250,-400,500,中,,,めくり性能
luke,ルーク,通常技,ジャンプ強P（ガンメタルハンマー）,（ジャンプ中に）PH,9,14,3,25,,,"",800,"",200,-400,-500,1000,中,,,空中カウンター/パニッシュカウンター時叩きつけダウン
luke,ルーク,通常技,ジャンプ強K（ヘブンリーストライク）,（ジャンプ中に）KH,10,15,3,27,,,"",800,"",200,-400,-500,1000,中,,,""
luke,ルーク,特殊技,ローハイド,6 + PM,21,22,21,63,2,-3,"",600,"",150,-250,-500,500,中,ローハイド.jpg,ローハイド.mp4,空中ヒット時叩きつけダウン
luke,ルーク,特殊技,サプレッサー,4 + PH,16,18,20,53,3,-3,C,800,"",300,-600,-1000,1000,上,サプレッサー.jpg,サプレッサー.mp4,""
luke,ルーク,特殊技,アウトローキック,4 + KH,12,15,24,50,4,-5,"",1000,"",300,-600,-1000,1000,上,アウトローキック.jpg,アウトローキック.mp4,パニッシュカウンター時+17F@@EOL@@空中ヒット時吹き飛びダウン
luke,ルーク,特殊技,ダブルインパクト（1段目）,6 + PH,16,18,15,48,3,-3,"",800,"",200,-400,-700,500,上,ダブルインパクト.jpg,ダブルインパクト.mp4,※空振り時硬直4F増加
luke,ルーク,特殊技,ダブルインパクト（2段目）,6 + PH -> PH,11,12,34,56,,-19,C,600,コンボ補正20%,100,-200,-700,500,上,ダブルインパクト.jpg,ダブルインパクト.mp4,""
luke,ルーク,特殊技,トリプルインパクト（2段目）,PL -> PM,8,11,20,38,-2,-9,"",400,即時補正10%,50,-100,-400,400,上,トリプルインパクト.jpg,トリプルインパクト.mp4,""
luke,ルーク,特殊技,トリプルインパクト（3段目）,PL -> PM -> PH,10,12,27,48,,-14,C,600,"",50,-150,-400,400,上,トリプルインパクト.jpg,トリプルインパクト.mp4,""
luke,ルーク,特殊技,スナップバックコンボ（2段目）,PM -> PM,12,13,23,47,0,-8,※,300,"",40,-100,-400,300,上,スナップバックコンボ.jpg,スナップバックコンボ.mp4,""
luke,ルーク,特殊技,ノーズブレイカー,中 2 + KM -> 2 + PH,9,11,25,44,1,-8,"",600,"",100,-300,-400,600,上,ノーズブレイカー.jpg,ノーズブレイカー.mp4,""
luke,ルーク,特殊技,スナップバックコンボ（3段目）,PM -> PM -> PM,11,12,29,51,-6,-14,"",300,"",40,-100,-400,300,上,スナップバックコンボ.jpg,スナップバックコンボ.mp4,""
luke,ルーク,特殊技,スナップバックコンボ（4段目）,PM -> PM -> PM -> PM,11,12,27,49,,-12,"",500,"",50,-150,-400,500,上,スナップバックコンボ.jpg,スナップバックコンボ.mp4,""
luke,ルーク,必殺技,弱 サンドブラスト,236 + PL,14,18,47,78,-3,-8,SA3,600,"",100,-250,-200,600,上・弾,サンドブラスト.jpg,サンドブラスト.mp4,""
luke,ルーク,必殺技,中 サンドブラスト,236 + PM,17,23,47,86,0,-5,SA3,600,"",100,-250,-200,600,上・弾,サンドブラスト.jpg,サンドブラスト.mp4,""
luke,ルーク,必殺技,強 サンドブラスト,236 + PH,20,29,47,95,3,-2,SA3,600,"",100,-250,-200,600,上・弾,サンドブラスト.jpg,サンドブラスト.mp4,""
luke,ルーク,必殺技,OD サンドブラスト,236 + PP,16,,40,0,,-2,SA2,800,始動補正20％コンボ補正20％,0,-200,-500,600,上・弾,サンドブラスト.jpg,サンドブラスト.mp4,""
luke,ルーク,必殺技,フェイタルショット,（ODサンドブラスト後に）PP,12,,54,0,,-21,SA2,1000,"",0,-100,-700,1000,上・弾,フェイタルショット.jpg,フェイタルショット.mp4,発動時にドライブゲージを10000消費
luke,ルーク,必殺技,弱 フラッシュナックル,214 + PL,13,15,31,58,,-18,SA3,700,"",200,-300,-500,500,上,フラッシュナックル.jpg,フラッシュナックル.mp4,18F以上ボタンホールドすると性能変化@@EOL@@18-20Fの間に離すとジャスト版が発生
luke,ルーク,必殺技,弱 フラッシュナックル（ホールド）,弱ホールド214 + PL,26,29,25,79,,-8,SA3,800,"",225,-400,-600,600,上,フラッシュナックル.jpg,フラッシュナックル.mp4,28-29F　相殺判定@@EOL@@2段目にコンボ補正がかかる
luke,ルーク,必殺技,弱 フラッシュナックル（ジャスト）,弱ホールド214 + PL,26,29,25,79,,-8,SA3,900,"",225,-400,-600,700,上,フラッシュナックル.jpg,フラッシュナックル.mp4,28-29F　相殺判定@@EOL@@2段目にコンボ補正がかかる
luke,ルーク,必殺技,中 フラッシュナックル,214 + PM,19,21,27,66,3,-10,SA3,900,"",200,-500,-700,700,上,フラッシュナックル.jpg,フラッシュナックル.mp4,18F以上ボタンホールドすると性能変化@@EOL@@18-20Fの間に離すとジャスト版が発生
luke,ルーク,必殺技,中 フラッシュナックル（ホールド）,中ホールド214 + PM,30,33,26,88,,-3,SA3,1000,"",200,-600,-800,800,上,フラッシュナックル.jpg,フラッシュナックル.mp4,32-33F　相殺判定@@EOL@@2段目にコンボ補正がかかる@@EOL@@アーマーヒット時硬直4F減少
luke,ルーク,必殺技,中 フラッシュナックル（ジャスト）,中ホールド214 + PM,29,32,26,86,,-3,SA3,1100,"",200,-600,-800,900,上,フラッシュナックル.jpg,フラッシュナックル.mp4,31-32F　相殺判定@@EOL@@2段目にコンボ補正がかかる
luke,ルーク,必殺技,強 フラッシュナックル,214 + PH,22,24,21,66,,-4,SA3,1000,"",250,-600,-800,800,上,フラッシュナックル.jpg,フラッシュナックル.mp4,18F以上ボタンホールドすると性能変化@@EOL@@18-20Fの間に離すとジャスト版が発生
luke,ルーク,必殺技,強 フラッシュナックル（ホールド）,強ホールド214 + PH,33,36,24,92,,4,SA3,1300,"",300,-700,-900,1100,上,フラッシュナックル.jpg,フラッシュナックル.mp4,35-36F　相殺判定
luke,ルーク,必殺技,強 フラッシュナックル（ジャスト）,強ホールド214 + PH,33,36,24,92,,4,SA3,1600,"",300,-700,-900,1200,上,フラッシュナックル.jpg,フラッシュナックル.mp4,35-36F　相殺判定
luke,ルーク,必殺技,OD フラッシュナックル,214 + PP,15,15,39,68,,-22,SA2,400,"",0,-400,-300,500,上,フラッシュナックル.jpg,フラッシュナックル.mp4,ヒット時2段目に派生@@EOL@@初段ヒット時のみDDTへ派生可
